Year,Season,District,Paddy_Variety,Pest,Incidence_percent,Severity,Paddy_Age_Stage,Paddy_Age_Days,How_to_Reduce,Recommended_Fertilizers,Symptoms,How_to_Identify,Weather_Conditions,Soil_Conditions,Avg_Temp_C,Rainfall_mm,Humidity_%,Soil_pH,Soil_Moisture_%,Soil_Type,Organic_Matter_%
2015,Maha,Anuradhapura,Bg 94-1,Sheath Blight,6.445896306,Low,Late tillering  -Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",28.34929088,320.7577121,88.50234191,6.28,65.27891132,Reddish Brown Earth,2.543473722
2015,Maha,Anuradhapura,At 303,Sheath Blight,5.438892782,Low,Late tillering -Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",25.80217989,257.4956021,85.89865247,6.62,71.06942808,Reddish Brown Earth,3.766071115
2015,Maha,Hambantota,BG 358,Brown Planthopper (BPH),22.59818171,Moderate,Tillering - Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",29.3533905,238.9650415,85.99571405,6.15,80,Reddish Brown Earth,2.06525241
2015,Maha,Hambantota,Bg 94-1,Brown Planthopper (BPH),15.21762694,Moderate,Tillering - Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",29.29007102,320.1382751,91.63887925,7.76,69.37067822,Regosols,2.350431327
2015,Maha,Hambantota,Suwandel,Paddy Bug,9.820747322,Moderate,Flowering - Grain filling,60-90,"Use sweep nets, neem sprays, maintain clean bunds.",Balanced fertilizer; avoid excess nitrogen.,,,Weather data not available,Soil data not available,27.92795851,246.2905684,84.87161113,6.99,72.69731973,Regosols,2.468124759
2015,Maha,Hambantota,At 303,Paddy Bug,6.246073794,Low,Flowering - Grain filling,60-90,"Use sweep nets, neem sprays, maintain clean bunds.",Balanced fertilizer; avoid excess nitrogen.,,,Weather data not available,Soil data not available,29.83525692,289.7013967,86.33108787,7.11,65.27952882,Regosols,2.388430488
2015,Maha,Hambantota,BG 358,Rice Gall Midge,14.51129182,Moderate,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,25.90752356,292.855448,72.78474236,6.59,71.02826538,Reddish Brown Earth,3.028408163
2015,Maha,Hambantota,Bg 94-1,Rice Gall Midge,7.692864529,Low,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,28.80815163,283.7085204,83.01133959,7.59,71.79396978,Regosols,2.191369595
2015,Maha,Hambantota,At 303,Rice Gall Midge,19.57335735,Moderate,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,28.98060047,209.3966637,80.30874097,7.04,73.95568791,Regosols,2.845309858
2015,Maha,Hambantota,Suwandel,Rice Leaf-folder,6.991539756,Low,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",29.17716074,313.1085977,88.46012229,6.81,77.22869561,Reddish Brown Earth,2.361265405
2015,Maha,Hambantota,Bg 94-1,Rice Leaf-folder,8.02900804,Low,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",25.26633237,237.341189,79.76265728,7.59,66.46182786,Regosols,2.340192863
2015,Maha,Hambantota,Suwandel,Sheath Blight,6.270553981,Low,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",26.78055738,239.9862319,75.82052413,6.99,59.89647547,Reddish Brown Earth,2.1167669
2015,Maha,Hambantota,BG 358,Sheath Blight,5.472083195,Low,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",28.85056407,275.9232133,80.02994584,6.38,79.63844469,Reddish Brown Earth,2.351457465
2015,Maha,Hambantota,At 303,Sheath Blight,20.37701128,Moderate,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",29.15910659,316.3791774,81.09572052,6.27,78.52208247,Reddish Brown Earth,2.147883678
2015,Maha,Kurunegala,Suwandel,Brown Planthopper (BPH),6.959101205,Low,Tillering -Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",25.51290102,278.8253787,87.04507314,6.28,66.14996677,Reddish Brown Earth,2.578593251
2015,Maha,Kurunegala,BG 358,Brown Planthopper (BPH),21.67814551,Moderate,Tillering -Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",25.47476298,344.1303935,78.19054833,6.35,59.85528735,Reddish Brown Earth,2.376660609
2015,Maha,Kurunegala,Bg 94-1,Brown Planthopper (BPH),17.87438075,Moderate,Tillering - Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",28.83072162,290.3656252,77.70215053,5.7,80,Lateritic Soil,2.946036884
2015,Maha,Kurunegala,At 303,Paddy Bug,2.732593225,Low,Flowering - Grain filling,60-90,"Use sweep nets, neem sprays, maintain clean bunds.",Balanced fertilizer; avoid excess nitrogen.,,,Weather data not available,Soil data not available,25.99508521,226.7252525,88.35842006,5.81,68.21567267,Lateritic Soil,2.33811298
2015,Maha,Kurunegala,Suwandel,Rice Gall Midge,14.9947947,Moderate,Seedling -Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,27.4259163,247.1311447,84.022869,6.19,62.6851353,Reddish Brown Earth,2.006507357
2015,Maha,Kurunegala,BG 358,Rice Gall Midge,18.13132299,Moderate,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,27.30485302,198.2964219,75.45240761,5.08,80,Lateritic Soil,2.486684671
2015,Maha,Kurunegala,Suwandel,Rice Leaf-folder,14.50329446,Moderate,Tillering -Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",28.29656926,304.4630605,80.31889665,5.46,71.19194469,Lateritic Soil,3.922456825
2015,Maha,Kurunegala,Bg 94-1,Rice Leaf-folder,3.505763706,Low,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",28.70318591,251.0841391,82.96014468,6.99,76.67505296,Reddish Brown Earth,2.412536068
2015,Maha,Kurunegala,At 303,Rice Leaf-folder,2.123366841,Low,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",26.64938031,260.0563246,86.67109639,5.31,64.91546517,Lateritic Soil,2.996987489
2015,Maha,Kurunegala,BG 358,Sheath Blight,22.66143842,Moderate,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",28.8353666,206.4669558,83.89236349,5.58,80,Lateritic Soil,2.713465108
2015,Maha,Kurunegala,Bg 94-1,Sheath Blight,11.13193217,Moderate,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",28.18709099,344.4813188,88.15510421,5.97,73.89988774,Lateritic Soil,3.940068842
2015,Maha,Kurunegala,At 303,Sheath Blight,10.25867946,Moderate,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",26.10077571,337.7780287,88.37854969,6.54,71.42257245,Reddish Brown Earth,2.598656734
2015,Maha,Polonnaruwa,BG 358,Brown Planthopper (BPH),10.28874828,Moderate,Tillering - Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",27.93587423,232.5789349,76.29768422,7.45,61.37578235,Alluvial Soil,2.659387266
2015,Maha,Polonnaruwa,At 303,Brown Planthopper (BPH),2.000485,Low,Tillering - Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",25.91686452,282.8578098,80.35272519,7.37,66.17998341,Alluvial Soil,2.557794102
2015,Maha,Polonnaruwa,Bg 94-1,Paddy Bug,8.411929558,Low,Flowering - Grain filling,60-90,"Use sweep nets, neem sprays, maintain clean bunds.",Balanced fertilizer; avoid excess nitrogen.,,,Weather data not available,Soil data not available,25.87249382,331.5214142,79.43520881,7.43,69.99575077,Alluvial Soil,2.385955343
2015,Maha,Polonnaruwa,Suwandel,Rice Gall Midge,15.57096849,Moderate,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,26.36101308,339.4325837,77.20350397,6.66,57.93195891,Alluvial Soil,3.495666173
2015,Maha,Polonnaruwa,BG 358,Rice Gall Midge,0,Low,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,26.80786235,340.3674827,81.67618446,7.32,74.04655874,Alluvial Soil,3.215298255
2015,Maha,Polonnaruwa,Bg 94-1,Rice Gall Midge,19.05842461,Moderate,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,27.32686291,253.920468,80.23842494,6.42,73.04815746,Reddish Brown Earth,2.169172534
2015,Maha,Polonnaruwa,At 303,Rice Gall Midge,11.57342786,Moderate,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,27.36580235,301.4763145,78.4559732,6.55,77.82158502,Alluvial Soil,2.889900796
2015,Maha,Polonnaruwa,Suwandel,Rice Leaf-folder,14.84455498,Moderate,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",27.99930968,246.1032501,80.35343233,7.41,69.15750084,Alluvial Soil,3.240931404
2015,Maha,Polonnaruwa,Bg 94-1,Rice Leaf-folder,6.236786042,Low,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",26.74690375,299.351738,91.4482812,6.61,80,Reddish Brown Earth,3.829041473
2015,Maha,Polonnaruwa,At 303,Rice Leaf-folder,8.25287864,Low,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",26.60580557,233.0161365,83.59305504,6.03,71.28187509,Reddish Brown Earth,3.822307951
2015,Maha,Polonnaruwa,Suwandel,Sheath Blight,20.05740595,Moderate,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",27.90034563,287.7955758,81.75026819,7.18,74.8801395,Alluvial Soil,3.146417225
2015,Maha,Polonnaruwa,BG 358,Sheath Blight,21.47105721,Moderate,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",26.54351297,304.24311,84.33349396,7.23,66.92177138,Alluvial Soil,2.882892944
2015,Yala,Anuradhapura,BG 358,Brown Planthopper (BPH),0,Low,Tillering - Panicle initiation,20-0,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",32.55098583,109.6942956,75.39727466,6.06,64.28477443,Low Humic Gley,3.441639457
2015,Yala,Anuradhapura,Suwandel,Paddy Bug,8.00498455,Low,Flowering - Grain filling,60-90,"Use sweep nets, neem sprays, maintain clean bunds.",Balanced fertilizer; avoid excess nitrogen.,,,Weather data not available,Soil data not available,28.32783563,68.59386145,81.88933741,6.81,65.2997078,Reddish Brown Earth,3.519571171
2015,Yala,Anuradhapura,BG 358,Paddy Bug,11.22742028,Moderate,Flowering - Grain filling,60-90,"Use sweep nets, neem sprays, maintain clean bunds.",Balanced fertilizer; avoid excess nitrogen.,,,Weather data not available,Soil data not available,34.05683459,64.79103807,72.63673561,7,73.7523507,Reddish Brown Earth,3.902347629
2015,Yala,Anuradhapura,At 303,Paddy Bug,11.48176005,Moderate,Flowering - Grain filling,60-90,"Use sweep nets, neem sprays, maintain clean bunds.",Balanced fertilizer; avoid excess nitrogen.,,,Weather data not available,Soil data not available,32.36959196,103.7042648,78.87115594,6.13,70.87271875,Reddish Brown Earth,2.403744262
2015,Yala,Anuradhapura,BG 358,Rice Gall Midge,14.91977905,Moderate,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,33.37650986,98.77493522,66.93615757,6.5,77.44100994,Low Humic Gley,3.453266033
2015,Yala,Anuradhapura,Bg 94-1,Rice Gall Midge,9.35746181,Moderate,Seedling - Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,29.05834512,54.52622765,75.33922872,6.77,80,Reddish Brown Earth,2.838989352
2015,Yala,Anuradhapura,Suwandel,Rice Leaf-folder,4.480881081,Low,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",31.85994217,76.63640474,76.40743839,6.36,72.0770445,Low Humic Gley,3.838325635
2015,Yala,Anuradhapura,Bg 94-1,Rice Leaf-folder,0,Low,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",34.18816525,56.38989175,81.82027308,6.35,67.93646997,Low Humic Gley,2.46928751
2015,Yala,Anuradhapura,At 303,Rice Leaf-folder,11.78720977,Moderate,Tillering - Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",31.60702693,119.5297012,72.28621037,6.45,67.57423422,Reddish Brown Earth,3.968530297
2015,Yala,Anuradhapura,Suwandel,Sheath Blight,0,Low,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",32.56008038,84.11023771,76.75756504,5.56,61.16160651,Low Humic Gley,3.955674669
2015,Yala,Anuradhapura,Bg 94-1,Sheath Blight,12.39375745,Moderate,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",29.09047346,124.9630804,73.56808806,6.44,79.93361252,Low Humic Gley,3.081624577
2015,Yala,Anuradhapura,At 303,Sheath Blight,28.79539254,High,Late tillering - Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",30.94335944,68.27023735,65.62802321,6.25,70.66848041,Reddish Brown Earth,3.593991435
2015,Yala,Hambantota,Suwandel,Brown Planthopper (BPH),19.54978053,Moderate,Tillering - Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",31.14283518,57.05683748,75.90192284,7.01,76.0514248,Regosols,3.498533007
